city,address,new,rooms,square,floor,floors,price,Пермь,Березники,Оханск,Чайковский,д. Кондратово,остальные
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак5",1,2,61.5,2,4,7973721.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Металлистов, 18",0,3,217.08,2,10,7923420.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,1,170.28,3,24,7954050.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,2,236.03,4,17,7995900.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, Краснова мкр, Красное яблоко ЖК",0,3,251.17,4,17,8140000.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,2,61.1,1,4,8107686.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, улица Гашкова, 51",1,3,80.0,11,16,8149656.0,1,0,0,0,0,0
д. Кондратово,"улица Артемьевская, 2",1,3,79.0,1,14,8111246.0,0,0,0,0,1,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица КИМ, 45",0,2,228.35,2,12,8212663.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1А",1,2,61.5,2,4,8185314.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Металлистов, 18",0,3,224.46,2,10,8208460.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Разгуляй, Екатерининская улица, 10",0,1,187.78,3,6,8200000.0,1,0,0,0,0,0
д. Кондратово,"улица Н.М. Яблокова, 1",1,3,79.1,6,14,8278480.0,0,0,0,0,1,0
Пермь,"р-н Ленинский, улица Борцов Революции, 1Ак4",1,2,61.3,1,4,8252365.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица Металлистов, 18",0,3,229.24,1,10,8261350.0,1,0,0,0,0,0
д. Кондратово,"улица Н.М. Яблокова, 1",1,3,79.6,9,14,8275558.0,0,0,0,0,1,0
Пермь,"р-н Мотовилихинский, Целинная улица, 47Б",1,3,79.1,5,7,8261861.0,1,0,0,0,0,0
Пермь,"р-н Индустриальный, мкр. Ераничи, улица Советской Армии, 82",0,2,213.09,2,9,8308500.0,1,0,0,0,0,0
Пермь,"р-н Ленинский, мкр. Центр, улица Окулова, 20",0,2,195.87,2,24,8451690.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица КИМ, 45",0,2,223.52,6,12,8502989.0,1,0,0,0,0,0
Пермь,"р-н Дзержинский, мкр. ДКЖ, улица Татьяны Барамзиной, 32В",0,3,251.67,2,17,8525000.0,1,0,0,0,0,0
Пермь,"р-н Свердловский, мкр. Островский, улица Революции, 2А",1,2,68.95,4,25,8618750.0,1,0,0,0,0,0
Пермь,"р-н Мотовилихинский, мкр. Рабочий поселок, улица КИМ, 45",0,2,241.15,2,12,8603414.0,1,0,0,0,0,0
